	pH2	Tem13	Tem42	Sal8	Sal6	Sal4	pH9	Tem4	pH4	Sal1.5	Sal2.5	pH8
Bradyrhizobium_sp1	1	2	1	0.2	1.2	2	1.8	1.2	1.6	2.2	2.2	2.2
Bradyrhizobium_sp2	1	2	0.666666667	0	0	1.333333333	3.333333333	1.333333333	3.333333333	2.333333333	1.333333333	3.666666667
Bradyrhizobium_sp3	1	2	3	1	1.5	3	1.5	2	1.5	3	3.5	2.5
Bradyrhizobium_sp4	1	2	1	2	3	2	1	2	2	3	3	2
Bradyrhizobium_sp5	0.5	2	2	0.5	2	2.5	1.5	1.5	1	2.5	2.5	2.5
Bradyrhizobium_sp6	1	2	2	0	1	2	2	2	2	3	2	2
Bradyrhizobium_sp7	1	2	2	0	1	2	1	1	1	2	2	2
Bradyrhizobium_sp8	1	2	1.5	0	1	1.5	3	1	1	3.5	2.5	2.5
Rhizobium_sp1	1	2	2.5	1.5	2.75	2.5	2	1.5	2.5	2.75	2.5	2.5
Rhizobium_sp10	1	2	3	2	3	2	2.5	1.5	2.5	2.5	2.5	2.5
Rhizobium_sp11	1	2	0	0	2	2	4	1	3	3	2	4
Rhizobium_sp12	1	2	1	0	3	3	1	1	1	3	3	1
Rhizobium_sp13	1	2	0	0	2	3	2	2	3	3	3	3
Rhizobium_sp2	1	2	3	0	2	2	1	1	1	2	2	2
Rhizobium_sp3	1	2	4	2	3	3	4	2	1	3	3	4
Rhizobium_sp4	3	3	1	1	0	1	3	2	3	3	3	3
Rhizobium_sp5	0.666666667	2	1	0	2	2.666666667	3	1.666666667	2.333333333	3.666666667	2.666666667	3
Rhizobium_sp6	1	2	3	3.5	4	3.5	3	0.5	3	3	3.5	3
Rhizobium_sp7	1	2	1	0	2	2	4	1	2	3	3	4
Rhizobium_sp8	0.5	2	2	1.5	2.5	2.5	2.5	2	2	3	2.5	3
Rhizobium_sp9	1	2	4	4	3	2	1	1	3	2	2	2
Sinorhizobium_sp1	3	2	1	2	4	3	3	2	2	3	3	1
